id	pt_category	en_category	es_category	proposal_id	pt	en	es	candidate_ids	start_date	source_link	source_text	pt_multichoice	en_multichoice	es_multichoice
11	Educação	Education	Educación	11	Comprometimento com as metas estipuladas pelo Plano Nacional de Educação	Commitment to the goals stipulated by the National Education Plan	Compromiso con las metas estipuladas por el Plan Nacional de Educación	Lula;Simone	2022_10_21_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf	O país voltará a investir em educação de qualidade, no direito ao conhecimento e no fortalecimento da educação básica, da creche à pós-graduação coordenando ações articuladas e sistêmicas entre a União, Estados, Distrito Federal e Municípios retomando as metas do Plano Nacional de Educação.; Garantir que todos os alunos sejam plenamente alfabetizados até o segundo ano do ensino fundamental em cumprimento à BNCC e às metas do atual Plano Nacional de Educação			
12	Educação	Education	Educación	12	Investir em programas e ações específicas voltadas para a recuperação educacional daqueles afetados pela pandemia	Invest in specific programs and actions aimed at the educational recovery of those affected by the pandemic	Invertir en programas y acciones específicas encaminadas a la recuperación educativa de los afectados por la pandemia	Lula;Ciro;Bolsonaro;Simone;Soraya	2022_9_26_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913738/5_1660315476677.pdf	Para os alunos que ficaram defasados devidos às inúmeras limitações, materiais, pedagógicas ou tecnológicas, durante a crise sanitária afirmamos o compromisso do novo governo com um programa de recuperação educacional concomitante a educação regular para que possam superar esse grave déficit de aprendizagem.; Partindo dessas premissas, o Ensino Fundamental deve ser progressivamente integral ao longo dos próximos quatro anos com ênfase imediata na eliminação do atraso escolar provocado pela pandemia.;É importante dar continuidade na recuperação do ensino das crianças e jovens que foram prejudicados com o fechamento das escolas durante a pandemia.;Nosso programa também coloca, pela primeira vez na história, a educação no topo das prioridades nacionais, liderada e coordenada pela União, com um MEC que se dedique de fato a fazer nossas crianças e adolescentes aprender, recuperando o tempo perdido na pandemia.;O momento atual exige uma repactuação com governadores, secretários de educação nos estados e municípios, em torno de ações prioritárias, como a plena retomada das aulas, reposição de conteúdos pedagógicos e a dinamização da economia educacional, com segurança sanitária e a garantia de que os alunos serão bem atendidos. Isso pode ser feito com o uso da tecnologia de ensino a distância e de aulas presenciais através de um sistema híbrido.			
13	Educação	Education	Educación	13	Continuar a política de cotas sociais e raciais no ingresso ao ensino superior	Continue the policy of social and racial quotas for admission to higher education	Continuar con la política de cuotas sociales y raciales para el ingreso a la educación superior	Lula;Ciro;Simone		https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf	Asseguraremos a continuidade das políticas de cotas sociais e raciais na educação superior e nos concursos públicos federais, bem como sua ampliação para outras políticas públicas.;Em relação à população negra, a ação mais urgente é o acesso às universidades públicas e às vagas nos concursos públicos, mais especificamente o sistema de cotas, cuja prorrogação deverá ser avaliada este ano.;Estabelecer Política Nacional de Promoção da Equidade Racial, ampliar as políticas de cotas e ações afirmativas para promover maior igualdade racial, social.			
14	Educação	Education	Educación	14	Ações que garantam o acesso à internet na rede pública de ensino	Actions that guarantee internet access in public schools	Acciones que garantizan el acceso a internet en las escuelas públicas	Lula;Bolsonaro;Soraya;d'Avila	2022_9_26_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913738/5_1660315476677.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/892517/5_1659557501045.pdf	Paralelamente, é dever do Estado universalizar o acesso à internet de qualidade, garantindo a democratização de seu uso por toda a população, especialmente na rede pública de educação básica.;É evidente a necessidade de se dar continuidade e consolidar ações complementares importantes, como: a democratização da internet nas escolas – notadamente as mais distantes dos grandes centros; Fomentar a implantação do ensino híbrido nas escolas, com acesso à internet e equipamentos necessários, em todo o Brasil e em todos os níveis de ensino.; Há diferentes recursos já criados para ampliar o acesso à internet nas escolas da rede pública nas áreas urbanas e rurais, mas falta uma gestão coordenada de todas essas iniciativas que impedem que esses recursos atinjam seus objetivos.			
15	Educação	Education	Educación	15	Fortalecimento dos planos de carreira e valorização dos professores	Strengthening career plans and valuing teachers	Fortalecimiento de los planes de carrera y valoración de los docentes	Lula;Bolsonaro;Ciro;Simone;Soraya	2022_9_28_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913738/5_1660315476677.pdf	O nosso objetivo é resgatar e fortalecer os princípios do projeto democrático de educação, que foi desmontado e aviltado. Para participar da sociedade do conhecimento, é fundamental o resgate de um projeto de educação que dialogue com o projeto de desenvolvimento nacional. Para isso, é preciso fortalecer a educação pública universal, democrática, gratuita, de qualidade, socialmente referenciada, laica e inclusiva, com valorização e reconhecimento público de seus profissionais.; serão reforçadas as ações de promoção das políticas de formação e valorização dos professores, fortalecendo os planos de carreira e remuneração, melhorando as condições de trabalho e saúde e fornecendo formação inicial e continuada que estimule a articulação entre teoria e prática.; A constante valorização e capacitação não só dos professores, mas também dos diretores escolares e outros profissionais da educação.; Incentivar a formação; a atualização e a valorização dos professores; Profissionalizar efetivamente a nobre carreira do professor, melhorando sua remuneração e qualificação técnico pedagógica.			
16	Educação	Education	Educación	16	Ações voltadas para a capacitação e qualificação dos professores 	Actions aimed at training and qualification of teachers	Acciones dirigidas a la formación y cualificación de los docentes	Bolsonaro;Ciro;Simone;Soraya;d'Avila	2022_9_27_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913738/5_1660315476677.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/892517/5_1659557501045.pdf	Serão reforçadas as ações de promoção das políticas de formação e valorização dos professores, fortalecendo os planos de carreira e remuneração, melhorando as condições de trabalho e saúde e fornecendo formação inicial e continuada que estimule a articulação entre teoria e prática.; Nesse esforço, será essencial aprimorar o modelo pedagógico adotado para crianças e adolescentes, que precisam usufruir de um aprendizado contextualizado à realidade em que vivem. Para isso, é necessário adotar um amplo programa de formação e capacitação de professores; Incentivar a formação, a atualização e a valorização dos professores; Profissionalizar efetivamente a nobre carreira do professor, melhorando sua remuneração e qualificação técnico-pedagógica.; O governo federal deve ajudar na formação, avaliação e certificação de professores para a rede pública, que poderão ser usados pelas redes de acordo com suas necessidades.			
17	Educação	Education	Educación	17	Estabelecer os fundamentos básicos das disciplinas na educação, retirando as conotações ideológicas e tendo em vista os pais como principais atores na educação das crianças	Establish the basic foundations of the subjects, removing ideological connotations and with a view to parents as the main actors in children's education	Establecer los fundamentos básicos de las materias, eliminar connotaciones ideológicas y con miras a los padres como actores principales en la educación de los niños	Bolsonaro	2022_10_22_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf	Ações que forneçam os fundamentos de importantes disciplinas como Matemática, Português, História, Geografia, Ciências de uma forma geral e outras, permitindo que os alunos possam exercer um pensamento crítico sem conotações ideológicas (...) É preciso ampliar o combate à violência institucional contra crianças e adolescentes, sob a premissa de que os pais são os principais atores na educação das crianças e não o Estado!			
18	Educação	Education	Educación	18	Fortalecer a educação democrática, laica e inclusiva com políticas específicas para pessoas com deficiência,  população LGBTQIA+  e outros grupos vulneráveis	Strengthen democratic, secular and inclusive education with specific policies for people with disabilities, the LGBTQIA+ population and among other vulnerable groups	Fortalecer la democracia, educación laica e inclusiva con políticas específicas para personas con discapacidad, la población LGBTQIA+ y entre otros grupos vulnerables	Lula	2022_10_23_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf	Nosso objetivo é resgatar e fortalecer os princípios do projeto democrático de educação, que foi desmontado e aviltado. Para participar da sociedade do conhecimento, é fundamental o resgate de um projeto de educação que dialogue com o projeto de desenvolvimento nacional. Para isso, é preciso fortalecer a educação pública universal, democrática, gratuita, de qualidade, socialmente referenciada, laica e inclusiva, com valorização e reconhecimento público de seus profissionais. (...) Um Brasil inclusivo e acessível, com a garantia de direitos e respeito a pessoas com deficiência é uma de nossas metas. Para tanto é preciso assegurar às pessoas com deficiência e suas famílias o acesso à saúde, à educação, à cultura e ao esporte, e a inserção no mundo do trabalho. (...) Propomos políticas que garantam os direitos, o combate à discriminação e o respeito à cidadania LGBTQIA+ em suas diferentes formas de manifestação e expressão. Políticas que garantam o direito à saúde integral desta população, a inclusão e permanência na educação, no mercado de trabalho e que reconheçam o direito das identidades de gênero e suas expressões.			
19	Educação	Education	Educación	19	Investir no ensino profissionalizante alinhado às expectativas do mercado de trabalho	Investing in vocational education in line with labor market expectations	Invertir en formación profesional de acuerdo con las expectativas del mercado laboral	Ciro;Bolsonaro;Simone;d'Avila	2022_10_1_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/892517/5_1659557501045.pdf	Incentivar o ensino profissionalizante para vencer os gargalos existentes e os que estão por vir, notadamente na área de tecnologia e correlatas, propiciará ao jovem a qualificação e capacitação.;Também deverá ser disseminado o Ensino Médio profissionalizante em tempo integral, com o suporte técnico e administrativo do governo federal para a sua implementação. Nesse sentido, será adotado o modelo "Minha escola, meu emprego, meu negócio", que, além de ensino profissionalizante, oferece aos seus alunos estágios remunerados pelo governo; Temos convicção de que dá para fazer diferente e transformar o futuro dos nossos estudantes num prazo curto, baseado em educação de tempo  integral, no novo ensino médio e numa nova base curricular que eduque para a cidadania e, sobretudo, aproxime o ensino médio, profissionalizante e técnico do mercado de trabalho, com professores valorizados e infraestrutura adequada; Defendemos incluir o ensino profissionalizante como forma de inserir os trabalhadores jovens nos novos mercados de trabalho.			
20	Educação	Education	Educación	63	Investir no sistema nacional de fomento do desenvolvimento tecnológico através de fundos e agências públicas como o CNPq e a CAPES	Invest in the national system to promote technological development through funds and public agencies such as CNPq and CAPES	Invertir en el sistema nacional para promover el desarrollo tecnológico a través de fondos y organismos públicos como CNPq y CAPES	Lula	2022_2_31_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf	Recompor o sistema nacional de fomento do desenvolvimento científico e tecnológico, via fundos e agências públicas como o FNDCT, o CNPq e a CAPES.			
21	Educação	Education	Educación	20	Aliar o ensino presencial com o realizado na modalidade à distância na educação básica, analisando as peculiaridades regionais	Combining face-to-face teaching with distance learning in basic education, analyzing regional peculiarities	Combinar la enseñanza presencial con la educación a distancia en la educación básica, analizando las peculiaridades regionales	Bolsonaro;Soraya	2022_10_23_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913738/5_1660315476677.pdf	Também é preciso aliar o ensino presencial com o realizado na modalidade a distância, analisando e considerando aspectos e peculiaridades de cada região e microrregião, tais como: quantidade de escolas, distância da moradia dos alunos, infraestrutura disponível, conectividade, e necessidade de alimentação escolar, entre outros.; Fomentar a implantação do ensino híbrido nas escolas, com acesso à internet e equipamentos necessários, em todo o Brasil e em todos os níveis de ensino.			
22	Saúde	Health	Salud	21	Fortalecimento do programa nacional de vacinação	Strengthening the national vaccination program	Fortalecimiento del programa nacional de vacunación	Lula;Ciro;Simone	2022_10_1_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf	É urgente dar condições ao SUS para Retomar o atendimento às demandas que foram represadas durante a pandemia, atender as pessoas com sequelas da covid-19 e retomar o reconhecido programa nacional de vacinação.; Vamos revigorar o Programa Nacional de Imunizações, com a retomada de grandes campanhas de vacinação.; Retomar as campanhas de incentivo à vacinação, ampliando a cobertura, e fortalecer o Programa Nacional de Imunizações			
23	Saúde	Health	Salud	22	Fortalecer o programa farmácia popular	Strengthen the popular pharmacy program	Fortalecer o programa farmacia popular	Lula;Ciro	2022_10_4_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf	Reafirmamos o nosso compromisso com o fortalecimento do SUS público e universal, o aprimoramento da sua gestão, a valorização e formação de profissionais de saúde, a retomada de políticas como o Mais Médicos e o Farmácia Popular, bem como a reconstrução e fomento ao Complexo Econômico e Industrial da Saúde.; É também urgente a retomada do programa Farmácia Popular, que possibilitava o acesso dos menos favorecidos a medicamentos antes de ser extinto pelo atual governo. 			
24	Saúde	Health	Salud	23	Aprimoramento da gestão do SUS	Invest on the management of the SUS	Mejora de la gestión del SUS	Lula;Ciro;Bolsonaro;Soraya;d'Avila	2022_9_31_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913738/5_1660315476677.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/892517/5_1659557501045.pdf	Faltam investimentos, ações preventivas, profissionais de saúde, consultas, exames e medicamentos. É urgente dar condições ao SUS para retomar o atendimento às demandas que foram represadas durante a pandemia, atender as pessoas com sequelas da covid-19 e retomar o reconhecido programa nacional de vacinação.; Finalmente, a obtenção dos objetivos estratégicos definidos no Plano de Governo 2023-2026 no âmbito da saúde exige avançar no aprimoramento da gestão do Sistema Único de Saúde – SUS; O fluxo do atendimento, na direção do primário para o especializado, também deve ser aprimorado. Para isso, estimularemos estados e municípios a adotar ações integradas, em especial na gestão da rede básica, das policlínicas e do atendimento hospitalar especializado e de alta complexidade.; Implementar processo de planejamento e gestão na saúde para atender efetivamente as necessidades básicas do cidadão.; Assumimos o compromisso de investir na formação de gestores de saúde e na qualificação dos profissionais assistenciais em competências de gestão.			
